"Num_Clones" "Count" "Filename" "lib"
"176" 7 226 "10R" "lib1"
"177" 8 88 "10R" "lib1"
"178" 9 36 "10R" "lib1"
"179" 10 11 "10R" "lib1"
"180" 11 6 "10R" "lib1"
"181" 12 4 "10R" "lib1"
"182" 13 1 "10R" "lib1"
"183" 14 2 "10R" "lib1"
"184" 15 1 "10R" "lib1"
"185" 16 1 "10R" "lib1"
"186" 1 1846339 "10Y" "lib2"
"187" 2 595235 "10Y" "lib2"
"188" 3 323319 "10Y" "lib2"
"189" 4 152153 "10Y" "lib2"
"190" 5 66235 "10Y" "lib2"
"191" 6 27693 "10Y" "lib2"
"192" 7 11694 "10Y" "lib2"
"193" 8 5190 "10Y" "lib2"
"194" 9 2425 "10Y" "lib2"
"195" 10 1318 "10Y" "lib2"
"196" 11 777 "10Y" "lib2"
"197" 12 521 "10Y" "lib2"
"198" 13 389 "10Y" "lib2"
"199" 14 275 "10Y" "lib2"
"200" 15 261 "10Y" "lib2"
"201" 16 181 "10Y" "lib2"
"202" 17 150 "10Y" "lib2"
"203" 18 149 "10Y" "lib2"
"204" 19 131 "10Y" "lib2"
"205" 20 110 "10Y" "lib2"
"206" 21 84 "10Y" "lib2"
"207" 22 80 "10Y" "lib2"
"208" 23 90 "10Y" "lib2"
"209" 24 56 "10Y" "lib2"
"210" 25 55 "10Y" "lib2"
"211" 26 62 "10Y" "lib2"
"212" 27 49 "10Y" "lib2"
"213" 28 46 "10Y" "lib2"
"214" 29 31 "10Y" "lib2"
"215" 30 45 "10Y" "lib2"
"216" 31 41 "10Y" "lib2"
"217" 32 31 "10Y" "lib2"
"218" 33 27 "10Y" "lib2"
"219" 34 16 "10Y" "lib2"
"220" 35 31 "10Y" "lib2"
"221" 36 16 "10Y" "lib2"
"222" 37 18 "10Y" "lib2"
"223" 38 21 "10Y" "lib2"
"224" 39 17 "10Y" "lib2"
"225" 40 23 "10Y" "lib2"
"226" 41 16 "10Y" "lib2"
"227" 42 15 "10Y" "lib2"
"228" 43 14 "10Y" "lib2"
"229" 44 9 "10Y" "lib2"
"230" 45 11 "10Y" "lib2"
"231" 46 12 "10Y" "lib2"
"232" 47 7 "10Y" "lib2"
"233" 48 12 "10Y" "lib2"
"234" 49 9 "10Y" "lib2"
"235" 50 4 "10Y" "lib2"
"236" 51 11 "10Y" "lib2"
"237" 52 7 "10Y" "lib2"
"238" 53 8 "10Y" "lib2"
"239" 54 6 "10Y" "lib2"
"240" 55 4 "10Y" "lib2"
"241" 56 11 "10Y" "lib2"
"242" 57 7 "10Y" "lib2"
"243" 58 7 "10Y" "lib2"
"244" 59 4 "10Y" "lib2"
"245" 60 6 "10Y" "lib2"
"246" 61 4 "10Y" "lib2"
"247" 62 7 "10Y" "lib2"
"248" 63 7 "10Y" "lib2"
"249" 64 3 "10Y" "lib2"
"250" 65 4 "10Y" "lib2"
"251" 66 6 "10Y" "lib2"
"252" 67 6 "10Y" "lib2"
